amendment	修正(条項)|改正	anc
doc	先生|医師または名前のわからない一般人に対する呼びかけ	anc
promotion	プロモーション|宣伝|昇進|進路|促進|助長|助成|奨励|昇給	anc
breakfast	朝食	anc
theater	映画館|演劇|現場|観客|(重要な事件などの)舞台|戦域(個々の戦場を含む広い地域)	anc
mid	中間の|中央の|中部の|の(最)中に	anc
con	反対の	anc
earn	(金)をもうける|かせぐ|(評判･尊敬など)を得る	anc
himself	彼自身	anc
nor	もまた～でない|そしてまた～ない	anc
component	構成している|成文|成分	anc
row	家並み|列|整列させる|船を漕ぐ|口論(する)|騒動|dispute	anc
acid	酸|酸性|酸塩基反応(acid-base reaction)|酸っぱい|麻薬|LSD 	anc
notebook	ノート	anc
expression	表情|表現	anc
defense	防衛|防御|弁護|被告	anc
assistant	援助する|補助の|店員|助手	anc
bike	自転車|オートバイ|オートバイで行く	anc
establish	を確立する|設立する|(事実など)を確定する|立証する	anc
alone	唯一の|単に|離れて	anc
export	輸出|輸出する|運び去る	anc
meeting	会合|集合|出会い|会議	anc
queen	女王として君臨する|王妃|女王|女帝|皇后	anc
keyword	キーワード|主要語|見出語	anc
scheme	計画|考え|陰謀|仕組み|組織|理論体系|一覧表|図式	anc
username	ユーザ名	anc
mom	ママ|mother	anc
angel	天使	anc
throw	投げる|を発射する|を投影する|を投じる	anc
creek	小川	anc
classified	分類された|機密の	anc
orange	オレンジ|オレンジ色	anc
disk	円盤	anc
labor	詳しく論じる|労働(者)|仕事|働く|労務|労働する|骨折る|(乗物などが)骨折って進む	anc
pair	一対|1組の男女|同じ札2枚|1組にする|を結婚させる	anc
km	キロメートル|kilometers	anc
soul	精神|魂	anc
eastern	東の	anc
regard	みなす|思う	anc
ray	放射線|光線|光明|ひらめき|熱線|半径|(魚)エイ|ドレミのレ(Doe,*,Me,Far,Sew,La,Tea)	original
desire	を要求する|を欲する|求める|と頼む|願望|欲求|要望	anc
administrative	行政上の|経営上の	anc
serious	まじめな|真剣な|生真面目な|厳粛な|本気の|重大な|深刻な	anc
recovery	回復|取り戻すこと|復旧	anc
bondage	束縛|とらわれの身|奴隷の身分	anc
preview	試写する|予告編	anc
battle	戦い	anc
thought	考えること|考え	anc
ft	(単位)フィート|footの複数形	anc
origin	起源|原因|素性	anc
urban	都会の|都市の|都会ふうの	anc
hole	穴をあける|穴|われめ|巣穴|苦境	anc
disability	障害|身体障害	anc
myself	私自身|自分自身	anc
initiative	主導権|第一歩|発議権|国民発案	anc
arm	腕	original
porno	ポルノの|ポルノ|ポルノ作家	anc
meter	メートル	anc
iron	鉄	original
truth	事実|真実|真理|真偽|実体|誠実	anc
immediately	すぐ接して|すぐに|早速|ただちに|直接に|直ちに	anc
admin	管理	anc
household	家中のもの|家族|王室|世帯|所帯|家庭|日常の	anc
approval	賛成|承認	anc
speech	スピーチ|演説	anc
fear	を恐れる|を心配する|恐れ|恐怖|不安|心配|懸念	anc
universal	普遍的な|世界共通の|一般的な|全宇宙の|全世界の|自在の	anc
theatre	(仏語)theater|階段教室|テアトル|劇場|舞台|映画館	anc
comprehensive	理解力のある|包括的な|総合的な|広範囲にわたる	anc
assembly	議会|下院|会合|集める|集会|集合|組み立て(部品)	anc
avenue	並木道|大通り	anc
compliance	服従|承諾|(要求などに)従うこと|人の言いなりになること	anc
pharmacy	薬局	anc
brain	脳|中枢部|頭脳	anc
criminal	犯罪の|犯罪者	anc
antique	古風の|旧式の|古器|骨董品(=curio)	anc
atom	原子	anc
laser	レーザー光	anc
behavior	振る舞い	anc
acceptance	受け入れ|容認|支持	anc
native	生まれつきの|自分の国の|土着の|土地の人|原住民	anc
translation	翻訳|訳|訳本|解釈|言い換え|転換|変形|訳書	anc
prepare	準備する	anc
tie	を縛る|を結ぶ|を結合する|つながり|関係	anc
wave	手を振って合図する|波立つ|振る|ウェーブ|振ること|高まり	anc
faith	信頼|信念|信用|信仰|確信|信じること	anc
editorial	社説|編集者の|論説	anc
winner	勝利者|受賞者	anc
spa	湯治場|温泉	anc
ministry	内閣|省|大臣の職務|奉仕|聖職者	anc
towards	toward	ejdict
funny	おかしな	anc
magic	魔法の|魔法|魔力	anc
sweet	甘い|菓子	anc
multimedia	マルチメディア	anc
bet	に賭ける|賭け|賭	anc
symbol	シンボル|象徴|記号|シンボルマーク(和製英語)	anc
portion	一部分|割当て|一部|部分|分け前|取り分|を分ける	anc
airline	航空会社|(定期)航空路|(2地点をつなぐ)直線	anc
snow	雪	anc
element	要素|成分|元素|原理|電極|固有の環境|本領|分隊|戦闘機の小編隊	anc
slow	速度をおとす|退屈な|遅い|鈍い|遅れている|ゆっくり|遅くなる|を遅くする	anc
interactive	インタラクティブな|対話式の|実況の|最新の	anc
bath	浴槽|入浴	anc
leadership	指導者の地位|統率力|指導者たち	anc
procedure	手続き|処置|進行|進展|手順|手段|行動|行為|訴訟手続	anc
bookmark	しおり	anc
enlarge	範囲を広げる|を大きくする|増大させる|広がる|詳細に述べる	anc
religious	宗教心のある|宗教上の|宗教に関する|敬謙な|信心深い|神聖な	anc
clock	掛時計	anc
conflict	衝突する|争う|摩擦|闘争|争い	anc
flower	花	anc
domestic	国内向けの|自国の|家庭の|国産品	anc
hat	帽子|賄賂	anc
gun	銃|ピストル|大砲|鉄砲|銃を撃つ|を撃ち落とす	anc
approximately	およそ|大体|ほぼ	anc
demonstrate	(証拠などで)明らかに示す|証明する	anc
trail	跡をつける|引きずる|の後を追う|(人･動物が通ってできた)道|痕跡|航跡|手掛かり|裁判|公判	anc
evaluate	評価する	anc
mental	心の|精神の|知力の|頭の中で行う|精神病の|気の狂った	anc
desk	机	anc
wallpaper	壁紙|壁紙を張る	anc
sorry	ごめんなさい|ご愁傷様(葬式などで)	anc
framework	骨組み	anc
chip	チップ|情報	anc
gamma	(第3ギリシア文字)ガンマ|Γ|γ|第3(のもの)	anc
scan	を細かく調べる|ざっと見る|スキャン|を走査する|精密検査をする	anc
attribute	のおかげとする|せいにする|に帰する|属性|特質	anc
ocean	海|海洋	anc
wing	翼|羽|党派|飛行隊|を飛ばす|フェンダー|即興で何かをする	anc
baseball	野球	anc
strength	強度|兵力|力|強さ|体力|強み|長所	anc
lens	レンズ	anc
dollar	ドル	anc
automatically	自動的に	anc
bargain	堀り出しもの|駆引きする|交渉する|契約|安い買物	anc
frequency	しばしば起こること|頻繁|頻発|頻度|振動数|周波数	anc
sister	姉妹|姉|妹	anc
push	(イメージ:押す力を加える)	anc
fort	とりで|交易市場|要塞	original
yesterday	きのう	anc
promise	約束|約束する	anc
measurement	測量|測定|寸法	anc
tutorial	家庭教師の	anc
wholesale	卸売する|卸売(の･で)|大規模な|大規模に	anc
seal	印鑑|封印|密閉|捺印する|クラックなどをふさぐ|鰭脚類(ききゃくるい)アザラシ|アシカ|オットセイ類の総称|海軍特殊部隊	anc
slot	組み込む|に溝をつける|細長い穴(をつける)|スロット	anc
portable	持ち運びのできる|ポータブルな|携帯用の	anc
instance	例|例に引く	anc
cartoon	漫画を描く|漫画|漫画映画|アニメーション映画	anc
pin	ピン	anc
jean	ジーンズ|ジーンズ用の布	anc
slide	すべらせる|スライド|滑ること|滑らかにすべる|滑り落ちる|を滑走させる|滑走	anc
poster	ポスター	anc
depth	知識の深さ|奥行き|奥底|深さ|難解さ|色の濃さ	anc
ave	(ラテン語)ようこそ|さようなら|AVErage平均|Avenueの略	anc
combination	結合|組み合わせ	anc
creation	創作物|創造	anc
convention	慣習|しきたり|会議|協定|条約(多国間での特定の事項についての合意)|集会|協議会	anc
liability	責任|負担|義務|負債|障害|不利|泣きどころ	anc
golden	将来有望な|貴重な|全盛の|金の|すばらしい	anc
senate	上院議会	anc
reality	実態|迫真|現実	anc
completely	完全に	anc
patent	専売特許の|特許(権)|特許の|の特許権をとる	anc
crystal	水晶の|結晶	anc
cm	センチメートル|centimeter	anc
marriage	結婚(生活)|結婚式|(密接な)結合	anc
counsel	に助言する|勧告する|助言|顧問弁護士|忠告	anc
warm	暖かい|温かい|思いやりのある	anc
examine	調査する|検査する|試験する(=look into, go over)	original
spread	を広げる|広がる|広がり|広めること|スプレッド	anc
electrical	電気に関する	anc
applicable	適用できる	anc
reduction	減少|削減|割引 2|還元(酸化oxidation)	anc
portal	入口|門脈|入り口|玄関|正門	anc
harry	ハリー(男性名Henryの愛称)|くり返し攻撃する|悩ます	original
classical	古典の|古典的な|古典主義の|最高級の|一流の	anc
basketball	バスケットボール	anc
mirror	鏡|模範|映す	anc
notify	発表する|通知する|告知する|届け出る|広告する	anc
birthday	誕生日	anc
direction	指示|方向|方位|問題|傾向|命令|監督	anc
cam	カム|円形でないディスク|シリンダー	anc
hunter	狩猟訓練をした動物|狩りをする人|探求者	anc
replacement	取り替え|代用品	anc
daughter	娘	anc
border	接する|縁|境界|国境|境をなす	anc
cache	貯蔵所|貯蔵物|隠し場|隠してある貴重品	anc
tab	つまみ|耳覆い|たれ飾り|張り札|記録|勘定書	anc
stress	を強調する|緊張|ストレス|強調|強勢(をつける)	anc
nuclear	核の|中心の|原子核の	anc
physician	医者|内科医|医師|(比喩的)治療者|救済者	anc
pull	引く	original
contest	コンクール|争う|競争	anc
suit	に合う|適す|似合う	anc
circuit	回路|迂回	anc
sexual	性的な|性の|雌雄の|有性の|生殖の	anc
carrier	運搬装置|運び台|電話会社|回線業者	anc
healthy	健康(的)な	anc
investigation	調査|研究|審査|取り調べ	anc
powerful	強力な	anc
node	節点|結び目|こぶ|節(ふし)|(劇などの筋の)もつれ	anc
false	正しくない|仮の|誤っている|嘘を言う|不誠実な|偽りの|人工の	original
portfolio	大臣の職･地位|(所有する)有価証券(一覧表)|紙ばさみ	anc
pump	ポンプ|揚水機|心臓|汲む|水を揚げる|ポンプでくみだす|パンプス(女性用のヒモのない靴)	original
relative	相対的な|比較上の|対応する|親戚|関係を示す|関係詞	anc
void	からの|を放出する|排泄する|放尿する|うつろな|持ち主の無い|空間|真空	anc
